Title,MajorStudio,Runtime,Rating,Production Budget (in millions),In Release,Widest Release,Opening Weekend Gross,Total Gross,Critic Rating,Audience Rating,Year,MonthOfRelease,LogOpeningWeekendGross,LogProductionBudget,LogWidestRelease,LogTotalGross
City Island,0,100,PG-13,6,168,269,32001,6671036,81,80,2010,3,10.37352243,15.60727003,5.59471138,15.71328573
The Last Station,1,112,R,18,161,354,73723,6617867,71,67,2010,1,11.20807011,16.70588232,5.869296913,15.70528367
Winter's Bone,0,100,R,2,315,141,84797,6531503,94,76,2010,6,11.34801544,14.50865774,4.94875989,15.69214764
It's Kind of a Funny Story,0,101,PG-13,8,49,757,2013406,6363628,58,66,2010,10,14.51533837,15.8949521,6.629363253,15.66610921
The Warrior's Way,0,100,R,42,63,1622,3048665,5666340,29,47,2010,12,14.93021435,17.55318018,7.391415235,15.55005396
Solitary Man,0,90,R,15,140,177,94936,4360548,81,50,2010,5,11.46095826,16.52356076,5.176149733,15.2881083
Greenberg,0,107,R,,70,186,118152,4234170,75,42,2010,3,11.67972721,,5.225746674,15.25869788
Please Give,1,90,R,3,175,272,118123,4033574,86,64,2010,4,11.67948173,14.91412285,5.605802066,15.21016339
To Save a Life,0,120,PG-13,0.5,77,441,1581517,3777210,33,82,2010,1,14.27389507,13.12236338,6.089044875,15.1444962
The Runaways,0,109,R,10,77,244,805115,3573673,69,55,2010,3,13.5987404,16.11809565,5.497168225,15.08910448
You Will Meet a Tall Dark Stger,1,98,R,22,142,402,160103,3248246,46,34,2010,9,11.98357264,16.90655301,5.996452089,14.99362572
Another Year,1,129,PG-13,8,149,236,111869,3205706,93,74,2010,12,11.62508382,15.8949521,5.463831805,14.9804429
Chloe,1,96,R,14,112,350,900688,3075255,51,39,2010,3,13.71091419,16.45456789,5.857933154,14.93889838
Letters to God,0,110,PG,3,84,897,1088873,2848578,25,74,2010,4,13.90065377,14.91412285,6.799055862,14.86233048
N'Secure,0,109,R,1.6,35,486,1166406,2595644,,46,2010,10,13.96943778,14.28551419,6.186208624,14.76934521
Never Let Me Go,1,104,R,15,92,232,111734,2434652,71,71,2010,9,11.62387633,16.52356076,5.446737372,14.70531439
Rabbit Hole,1,92,PG-13,5,112,131,53778,2229058,86,72,2010,12,10.89261974,15.42494847,4.875197323,14.61708963
I Love You Phillip Morris,0,100,R,13,133,100,112520,2037459,72,61,2010,12,11.63088626,16.38045992,4.605170186,14.527214
Harry Brown,0,103,R,7.3,105,67,173353,1818681,64,75,2010,4,12.06308526,15.80338491,4.204692619,14.41362207
Stone,0,105,R,22,84,125,75766,1810078,51,21,2010,10,11.23540492,16.90655301,4.828313737,14.4088805
Somewhere,0,98,R,7,72,83,119086,1785645,72,47,2010,12,11.6876012,15.76142071,4.418840608,14.39529025
Flipped,1,90,PG,14,70,442,224233,1755212,55,78,2010,8,12.32044097,16.45456789,6.091309882,14.37810021
The Joneses,0,95,R,10,91,217,509689,1475746,62,46,2010,4,13.14155601,16.11809565,5.379897354,14.20467418
