Title,MajorStudio,Runtime,Rating,Production Budget (in millions),In Release,Widest Release,Opening Weekend Gross,Total Gross,Critic Rating,Audience Rating,Year,MonthOfRelease,LogOpeningWeekendGross,LogProductionBudget,LogWidestRelease,LogTotalGross
Scott Pilgrim vs. the World,1,113,PG-13,60,56,2820,10609795,31524275,82,83,2010,8,16.1772881890086,17.9098551201864,7.94449216393216,17.2662684419299
Charlie St. Cloud,1,90,PG-13,44,49,2725,12381585,31162545,27,61,2010,7,16.3317208461049,17.5997001918825,7.91022370709734,17.2547274508562
Morning Glory,1,102,PG-13,40,72,2544,9203266,31011732,55,51,2010,11,16.0350689790217,17.5043900120782,7.84149292446001,17.2498761424676
How Do You Know,1,116,PG-13,120,41,2483,7484696,30212620,32,25,2010,12,15.8283709604486,18.6030023007463,7.81722278550817,17.2237702758519
Daybreakers,1,98,R,20,35,2523,15146692,30101577,67,49,2010,1,16.5332927162429,16.8112428315183,7.83320394864106,17.2200881203733
Nanny McPhee Returns,1,100,PG,35,70,2798,8407685,29011215,76,55,2010,8,15.9446567265174,17.3708586194537,7.93666015522543,17.1831930373302
The Switch,1,100,PG-13,19,91,2017,8436713,27779426,51,45,2010,8,15.9481033357386,16.7599495371307,7.60936653795421,17.13980623273
Brooklyn's Finest,0,133,R,17,77,1939,13350299,27163593,43,46,2010,3,16.4070493395635,16.6487239020205,7.56992765524265,17.1173881420378
Machete,1,105,R,10.5,77,2678,11416164,26593646,72,64,2010,9,16.250540803838,16.1668858151278,7.89282552625112,17.096182873037
Ramona and Beezus,1,104,G,15,112,2719,7810481,26167002,70,72,2010,7,15.8709771076275,16.5235607590665,7.90801944463247,17.080009709289
Leap Year,1,97,PG,19,56,2512,9202815,25918920,21,47,2010,1,16.0350199734783,16.7599495371307,7.82883452758809,17.0704837619136
You Again,1,105,PG,20,84,2548,8407513,25702053,17,43,2010,9,15.9446362688338,16.8112428315183,7.84306401669205,17.0620814299434
Alpha and Omega,1,88,PG,20,77,2625,9106906,25107267,16,41,2010,9,16.0245435847661,16.8112428315183,7.87283617502572,17.038667884111
Piranha 3D,1,89,R,24,91,2491,10106872,25003155,73,44,2010,8,16.1287261464866,16.9935643883122,7.82043951526218,17.0345125748699
Lottery Ticket,1,99,PG-13,17,77,1974,10652297,24719879,34,44,2010,8,16.1812861076151,16.6487239020205,7.58781721999343,17.0231182957198
The Spy Next Door,1,92,PG,28,49,2924,9726056,24307086,12,40,2010,1,16.090319027692,17.1477150681395,7.98070782086967,17.0062784707406
From Paris with Love,1,95,R,52,35,2722,8158860,24077427,37,54,2010,2,15.9146150112982,17.7667542765457,7.90912218321141,16.9967853205363
The Losers,1,98,PG-13,25,63,2936,9406348,23591432,49,54,2010,4,16.0568953384638,17.0343863828325,7.98480338973441,16.9763941532295
Faster,0,98,R,24,79,2470,8523153,23240020,43,49,2010,11,15.9582969007689,16.9935643883122,7.81197342962202,16.9613863505328
Just Wright,1,111,PG,12,83,1831,8284989,21540363,45,61,2010,5,15.9299558811413,16.3004172077523,7.51261754467451,16.8854390819182
Skyline,1,100,PG-13,10,42,2883,11692415,21393620,15,18,2010,11,16.2744508989385,16.1180956509583,7.9665866976384,16.8786033047011
The Next Three Days,1,122,PG-13,30,49,2564,6542779,21148651,52,66,2010,11,15.6938725567263,17.2167079396264,7.84932381804056,16.8670866789165
Our Family Wedding,1,90,PG-13,14,97,1609,7629862,20255281,13,48,2010,3,15.8475803165964,16.4545678875795,7.38336814699238,16.8239261076404
Remember Me,0,128,PG-13,16,63,2215,8089139,19068240,27,68,2010,3,15.9060328556823,16.5880992802041,7.70300768247924,16.7635346817601
Going the Distance,1,97,R,32,49,3030,6884964,17804299,53,53,2010,9,15.7448504613731,17.281246460764,8.01631789850342,16.6949505029557
Furry Vengeance,0,92,PG,35,77,3002,6627564,17630465,8,31,2010,4,15.706747873832,17.3708586194537,8.00703401219341,16.6851389295225
Splice,1,104,R,30,63,2450,7385277,17010170,74,37,2010,6,15.8149989817073,17.2167079396264,7.80384330353877,16.6493219584432
Youth in Revolt,1,90,R,18,104,1873,6888334,15281286,66,52,2010,1,15.7453398140419,16.7058823158604,7.53529670244409,16.5421395004649
