API,CasingSize,CasingType,CasingWeight,CementSacks,CompletionDate,LowerSetDepth,UpperSetDepth,WellboreSize,WellId
4232936279,9.625,Casing,36,490,,1222,,12.25,1fffe9ae-f525-405f-8f86-721230c213f9
4232936279,5.5,Casing,17,740,,10825,7312,8.75,1fffe9ae-f525-405f-8f86-721230c213f9
4232936279,13.375,Casing,48,325,,290,,17.5,1fffe9ae-f525-405f-8f86-721230c213f9
4232936528,5.5,Casing,17,1795,11/13/2010 12:00:00 AM,10796,6040,7.875,6275d9d5-489c-4d88-8710-859b730c6d5a
4232936528,8.625,Casing,24,402,11/13/2010 12:00:00 AM,328,0,13.5,6275d9d5-489c-4d88-8710-859b730c6d5a
4232936525,5.5,Casing,17,1715,8/10/2010 12:00:00 AM,11154,4350,7.875,35275ae7-eb7f-4eca-a07a-9d7f93e0bccb
4232936525,8.625,Casing,32,300,8/10/2010 12:00:00 AM,375,0,13.5,35275ae7-eb7f-4eca-a07a-9d7f93e0bccb
4232936524,9.625,Casing,32.3,300,8/2/2010 12:00:00 AM,387,0,13.5,17606d97-bd4b-42e9-af97-ed51ee0f0de4
4232936524,5.5,Casing,17,1715,8/2/2010 12:00:00 AM,10786,4970,7.875,17606d97-bd4b-42e9-af97-ed51ee0f0de4
4232936540,8.625,Casing,32,475,5/21/2010 12:00:00 AM,5177,1982,11,5ffef9b1-ee65-4dd9-949b-5e1d94494bfa
4232936540,4.5,Casing,11.6,1030,5/21/2010 12:00:00 AM,10168,5400,7.875,5ffef9b1-ee65-4dd9-949b-5e1d94494bfa
4232936540,12.75,Casing,35,300,5/21/2010 12:00:00 AM,335,,17.5,5ffef9b1-ee65-4dd9-949b-5e1d94494bfa
4232930396,8.625,Casing,32,300,3/9/1996 12:00:00 AM,4215,1504,11,092b9157-92ac-43d8-8f6e-1bc8f4835783
4232930396,12.75,Casing,35,17,3/9/1996 12:00:00 AM,285,,17.5,092b9157-92ac-43d8-8f6e-1bc8f4835783
4232930396,12.75,Casing,35,300,6/19/1977 12:00:00 AM,285,,17.5,092b9157-92ac-43d8-8f6e-1bc8f4835783
4232930396,4.5,Casing,11.6,1175,6/19/1977 12:00:00 AM,11650,,7.875,092b9157-92ac-43d8-8f6e-1bc8f4835783
4232930396,4.5,Casing,13.5,1175,3/9/1996 12:00:00 AM,11650,6930,7.875,092b9157-92ac-43d8-8f6e-1bc8f4835783
4232930396,8.625,Casing,24,300,6/19/1977 12:00:00 AM,4215,,11,092b9157-92ac-43d8-8f6e-1bc8f4835783
4232936480,8.625,Casing,32,600,7/2/2010 12:00:00 AM,5150,2150,11,eb8d20c5-825a-4d9c-a866-4127166c1440
4232936480,5.5,Casing,17,1070,7/2/2010 12:00:00 AM,10918,3650,7.875,eb8d20c5-825a-4d9c-a866-4127166c1440
4232936480,12.75,Casing,35,340,7/2/2010 12:00:00 AM,304,,17.5,eb8d20c5-825a-4d9c-a866-4127166c1440
4232936482,5.5,Casing,17,965,5/29/2010 12:00:00 AM,10583,2200,7.875,ca3eced6-c9dd-4eb5-b390-4bfe024ae1d7
4232936482,8.625,Casing,36,905,5/29/2010 12:00:00 AM,5048,950,11,ca3eced6-c9dd-4eb5-b390-4bfe024ae1d7
4232936482,13.375,Casing,48,380,5/29/2010 12:00:00 AM,320,,17.5,ca3eced6-c9dd-4eb5-b390-4bfe024ae1d7
4232901844,13.375,Casing,14.4,0,,338,0,17.5,9a604f27-6e9d-4587-8f24-b895ac9ad158
4232901844,2.375,Casing,0,0,,13054,,,9a604f27-6e9d-4587-8f24-b895ac9ad158
4232901844,4.5,Casing,11.8,758,,5494,3325,6.125,9a604f27-6e9d-4587-8f24-b895ac9ad158
4232901844,7,Casing,26,0,,13150,4825,8.75,9a604f27-6e9d-4587-8f24-b895ac9ad158
4232901844,,Casing,0,0,,0,,,9a604f27-6e9d-4587-8f24-b895ac9ad158
4232901844,5.5,Casing,14.4,610,,11650,3325,8.75,9a604f27-6e9d-4587-8f24-b895ac9ad158
4232901844,9.625,Casing,14.4,0,,4780,0,12.25,9a604f27-6e9d-4587-8f24-b895ac9ad158
4232931224,5,Liner,,352,11/30/1983 12:00:00 AM,11402,9627,,3f53f26e-3636-4109-b99f-2c5ec99258b2
4232931224,9.625,Casing,47,2300,11/30/1983 12:00:00 AM,4507,,12.25,3f53f26e-3636-4109-b99f-2c5ec99258b2
4232931224,2.875,Casing,0,0,11/30/1983 12:00:00 AM,9650,,,3f53f26e-3636-4109-b99f-2c5ec99258b2
4232931224,7,Casing,26,400,11/30/1983 12:00:00 AM,9800,,8.5,3f53f26e-3636-4109-b99f-2c5ec99258b2
4232931224,7,Casing,26,1470,11/30/1983 12:00:00 AM,9800,4800,8.5,3f53f26e-3636-4109-b99f-2c5ec99258b2
4232931224,13.375,Casing,48,450,11/30/1983 12:00:00 AM,360,,17.5,3f53f26e-3636-4109-b99f-2c5ec99258b2
4232936491,9.625,Casing,53.5,840,,5025,360,12.25,9c954b97-a246-4b4b-9899-2e490096c6c9
4232936491,5.5,Casing,17,885,,10310,5059,7.875,9c954b97-a246-4b4b-9899-2e490096c6c9
4232936491,13.375,Casing,54.5,300,,360,,17.5,9c954b97-a246-4b4b-9899-2e490096c6c9
4232936498,13.375,Casing,54.5,300,6/3/2010 12:00:00 AM,365,0,17.5,d93f2884-829f-4afd-b814-c546a40d5c01
4232936498,9.625,Casing,53.5,840,6/3/2010 12:00:00 AM,5046,365,12.25,d93f2884-829f-4afd-b814-c546a40d5c01
4232936498,5.5,Casing,17,970,6/3/2010 12:00:00 AM,10416,5046,7.875,d93f2884-829f-4afd-b814-c546a40d5c01
