WellId,API,Leg,MeasuredDepth,Incline,Azimuth,TVD,FtNS,NS,ftEW,EW,Latitude,Longitude
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,11643,91.2,1.2,11102.45,633.77,N,461.05,W,47.99559,-103.3945
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,13688,88.6,1.1,11092.33,2677.68,N,480.31,W,48.0012,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,11559,84.4,358.9,11100.8,549.84,N,461.54,W,47.99536,-103.3945
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,10770,36.5,290.4,10747.02,26.43,N,109.88,W,47.99392,-103.393
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,8720,0.7,285.3,8719.62,25.83,S,25.94,W,47.99378,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,10707,28.7,297,10693.9,13.15,N,78.83,W,47.99389,-103.3929
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,16335,92.7,359.5,11083.97,5323.67,N,506.35,W,48.00846,-103.3947
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,20305,89.6,1.6,11089.67,9291.02,N,483.15,W,48.01934,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,11085,61.3,319.5,10946.79,136.79,N,318.34,W,47.99422,-103.3939
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,21396,90.9,359.2,11086.03,10381.75,N,488.39,W,48.02234,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,17470,88.3,2.7,11083.72,6457.94,N,487.96,W,48.01157,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,12196,92.4,358.6,11102.61,1186.57,N,457.97,W,47.9971,-103.3945
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,21252,90.1,359.1,11088.76,10237.79,N,488.18,W,48.02194,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,6069,0.4,36.9,6068.78,7.74,S,15.96,W,47.99383,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,18414,90.1,359.2,11085.35,7401.47,N,475.24,W,48.01416,-103.3945
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,14729,90.3,359.2,11095.54,3718.43,N,472.97,W,48.00405,-103.3945
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,14067,88.2,0,11092.5,3056.6,N,478.91,W,48.00224,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,9571,0.6,96.3,9570.58,22.38,S,23.21,W,47.99379,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,18036,89.6,359.8,11080.66,7023.54,N,470.62,W,48.01312,-103.3945
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,11243,67.8,334.4,11013,257.53,N,394.84,W,47.99456,-103.3942
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,21726,90.2,358,11086.32,10711.55,N,498.5,W,48.02324,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,3039,0.8,277.9,3038.9,4.1,S,10.37,W,47.99384,-103.3926
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,14161,88.2,359.7,11095.45,3150.55,N,479.16,W,48.00249,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,16618,89.3,0.5,11080.04,5606.59,N,505.52,W,48.00923,-103.3947
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,17753,89.9,1.6,11084.51,6740.65,N,475.87,W,48.01234,-103.3945
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,21838,91.4,357.4,11084.76,10823.45,N,502.89,W,48.02354,-103.3947
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,6826,0.6,232.1,6825.76,9.14,S,19.14,W,47.99383,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,18225,88.3,359,11083.88,7212.5,N,472.93,W,48.01364,-103.3945
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,10548,14,302.8,10546.55,17.2,S,28.71,W,47.9938,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,3323,1.3,265.5,3322.85,3.83,S,15.55,W,47.99384,-103.3927
