API,CasingSize,CasingType,CasingWeight,CementSacks,CompletionDate,LowerSetDepth,UpperSetDepth,WellboreSize,WellId
4237106989,7,Casing,26,240,5/24/1996 12:00:00 AM,1525,,9,8c8fffdd-43f1-406d-9271-75c4fd5a5d1a
4237134172,5.5,Casing,15.5,420,4/12/2011 12:00:00 AM,1439,,7.875,98e8a99f-f4d0-4f6d-8492-74e615cce97e
4237134172,13.375,Casing,48,880,4/12/2011 12:00:00 AM,630,,17.5,98e8a99f-f4d0-4f6d-8492-74e615cce97e
4237134172,8.625,Casing,24,450,4/12/2011 12:00:00 AM,1039,,11,98e8a99f-f4d0-4f6d-8492-74e615cce97e
4237134172,2.375,Casing,0,0,4/14/1983 12:00:00 AM,1339,,,98e8a99f-f4d0-4f6d-8492-74e615cce97e
4237134735,8.625,Casing,24,680,1/14/2020 12:00:00 AM,1567,,11,6701a41c-34e0-4109-9e48-7922c0853d5a
4237134735,13.375,Casing,48,835,1/14/2020 12:00:00 AM,757,,17.5,6701a41c-34e0-4109-9e48-7922c0853d5a
4237138738,8.625,Casing,24,250,,517,0,11,c85142f6-8315-4669-b60d-bcff9b6822c4
4237138738,5.5,Casing,17,450,,4880,0,7.875,c85142f6-8315-4669-b60d-bcff9b6822c4
4237138736,9.625,Casing,,890,,1430,0,12.25,4c633d02-d8c1-4acb-90ba-376d5bd0a47a
4237138789,5.5,Casing,15.5,150,,485,,7.875,904dcca1-8b52-4419-a7a1-5fd570e0633e
4237136103,9.625,Casing,36,407,3/9/2011 12:00:00 AM,1143,,12.25,642a146c-1ffd-4454-9476-ac03614dfd48
4237136103,13.375,Casing,48,520,3/9/2011 12:00:00 AM,683,,17.5,642a146c-1ffd-4454-9476-ac03614dfd48
4237136103,7,Casing,20,930,3/9/2011 12:00:00 AM,1553,,8.75,642a146c-1ffd-4454-9476-ac03614dfd48
4237135214,8.625,Casing,24,565,4/5/2011 12:00:00 AM,1407,,12.25,ee53fb2d-7200-4b94-aebb-7a81b213b6ea
4237135214,13.375,Casing,48,970,4/5/2011 12:00:00 AM,773,,17.5,ee53fb2d-7200-4b94-aebb-7a81b213b6ea
4237135223,8.625,Casing,24,385,7/24/1985 12:00:00 AM,1407,,11,ba6972d6-0d43-49d0-b907-b3cdf093d71e
4237135223,13.375,Casing,48,770,7/24/1985 12:00:00 AM,758,,17.5,ba6972d6-0d43-49d0-b907-b3cdf093d71e
4237138736,4.5,Casing,,760,,4687,2000,8.75,4c633d02-d8c1-4acb-90ba-376d5bd0a47a
4237136079,5.5,Casing,10.5,875,10/17/1988 12:00:00 AM,2611,,7.875,9ccc3208-db4b-4a60-a330-277c9458a52f
4237136079,8.625,Casing,24,455,10/17/1988 12:00:00 AM,560,,12.25,9ccc3208-db4b-4a60-a330-277c9458a52f
4237103541,8.625,Casing,0,800,,1518,,12.25,27060aa5-7aba-4509-933d-bd1b4c9031b1
4237103541,13.375,Casing,0,300,,278,,17,27060aa5-7aba-4509-933d-bd1b4c9031b1
4237103541,5.5,Casing,15.5,550,,4875,1500,7.875,27060aa5-7aba-4509-933d-bd1b4c9031b1
4237138735,5.5,Casing,,330,,4690,0,8.75,d907cee9-5d45-4297-a079-ba56bdc5f49d
4237138735,9.625,Casing,,880,,1420,0,12.25,d907cee9-5d45-4297-a079-ba56bdc5f49d
4237138735,5.5,Casing,,1185,,9170,1487,8.75,d907cee9-5d45-4297-a079-ba56bdc5f49d
4237138733,9.625,Casing,36,960,,1525,0,12.25,9a58d965-3516-4144-84ab-2cbb246db249
4237138793,5.5,Casing,,150,,515,0,7.875,b90687b4-e931-4654-9993-5d733dc36476
4237138733,4.5,Casing,11.6,610,,3970,1900,8.75,9a58d965-3516-4144-84ab-2cbb246db249
4237137207,7,Casing,26,55,,900,450,8.75,3fd91eb1-6021-4924-a11c-cdefb8d6c2a0
4237137207,9.625,Casing,40,300,,305,,14,3fd91eb1-6021-4924-a11c-cdefb8d6c2a0
4237137207,4.5,Casing,,250,,2272,,6.25,3fd91eb1-6021-4924-a11c-cdefb8d6c2a0
