WellId,API,Supplier,Purpose,TradeName,IngredientName,CASNumber,PercentOfTotalFluid,IngredientMass
4ea51839-6a19-429d-91b0-5623b7c81398,4237139650,,,,ANIONIC POLYCRYLAMIDE,25085-0-2--3,0.02384,48134.99
80cc0e70-c967-4276-ab85-52e7dc4cd6fb,4237139533,,Other Chemicals,,SULFAMIC ACIDEN-BROMO SODIUM SALT,1004542-8-4--0,0,0
30b53b99-c411-4ccd-9e8c-1c12a1abe7a7,4237139602,,,,HYDROGEN CHLORIDE,7647-0-1--0,0.05788655,119610.7
30b53b99-c411-4ccd-9e8c-1c12a1abe7a7,4237139602,,,,ALCOHOLS,68131-3-9--5,0.01184235,24469.78
087dea65-bdd1-4c45-87e7-036f08389946,4237139403,,,,HEMICELLULOSE ENZYME,9012-5-4--8,0.002523472,3964
e01866be-4b7f-482f-959b-a4db6f17d8a5,4237139531,LIBERTY OILFIELD SERVICES,Flowback Additive,SFT-92,ALKYL SULFONIC ACID AMINE SALT,,0.06576531,149500.9
af525099-0373-4daf-bcd5-421f52cf8731,4237139528,,,,AETHYL ALCOHOL,67-5-6--1,0.0006730177,1290
1e8f345f-7b30-434a-88e4-3ab32ea7de45,4237139663,,,,TAR BASES,68513-8-7--1,0.000232,496.5952
eb227087-f3a0-480f-a54a-4ab866e2b7df,4237139535,LIBERTY OILFIELD SERVICES,Iron Sequestering Agent,ICI-5L,OXYALKYLATED FATTY ACID,68951-6-7--7,0.0004073198,949.396
b1f5c0d8-8a46-406a-a380-bb0045b9213b,4237139625,LIBERTY OILFIELD SERVICES,Scale Control,SCI-38,PHOSPHONIC ACID [[PHOSPHONOMETHYLIMINO]BIS[21-ETHANEDIYLNITRILOBISMETHYLENE]]TETRAKIS,,0.005578144,12663.77
af525099-0373-4daf-bcd5-421f52cf8731,4237139528,,,,AMMONIUM COMPOUND,,0.007517813,14410
7ccd0fcb-06b7-4370-90b5-38014b42ba17,4237139501,,,,ALKYLBENZENE SULFONATE COMPD WITH TIETHANOLAMINE,,0.002318,1043.666
