API,Comments,LowerPerf,PerfDate,Reservoir,UpperPerf,WellId
4232937256,,8937,,DEAN,8740,23dd05a3-aa9a-4e7c-8f19-a09164f9dd0d
4232936683,,8176,,LOWER SPRABERRY,8066,5f5be7e2-8f47-46a4-852e-007378275bfe
4232937059,,8472,,UPPER SPRABERRY,8038,370c7f8c-6110-4110-b0be-4bd5eda72de8
4232937256,,10366,,WOLFCAMP A,9042,23dd05a3-aa9a-4e7c-8f19-a09164f9dd0d
4232937415,,10420,,UPPER SPRABERRY,7950,09d61cab-864f-41b0-8ca2-b4f752496f63
4232937059,,10070,,WOLFCAMP D,1005,370c7f8c-6110-4110-b0be-4bd5eda72de8
4232936470,,8284,,UPPER SPRABERRY,8264,cbc32b88-03d0-45af-8a49-1e0a17053da9
4232937063,,9430,,WOLFCAMP A,9410,08414a50-81cc-4d77-9cb3-7164929dd8d0
4232936779,,10100,,,7884,05f09428-6006-4ec0-a650-b9e82651d3c8
4232937059,,9220,,WOLFCAMP A,9200,370c7f8c-6110-4110-b0be-4bd5eda72de8
4232937424,,10090,,WOLFCAMP D,7947,955bda4b-7dd3-43d4-ad53-b00172eeeae6
4232937306,,10030,,UPPER SPRABERRY,7952,73f5ed32-15c5-4d28-9f9d-cb375610365b
4232937059,,9390,,WOLFCAMP A,9370,370c7f8c-6110-4110-b0be-4bd5eda72de8
4232936470,,8022,,UPPER SPRABERRY,8002,cbc32b88-03d0-45af-8a49-1e0a17053da9
4232937063,,9932,,WOLFCAMP D,9750,08414a50-81cc-4d77-9cb3-7164929dd8d0
4232936789,,11376,,DEAN,9494,ccf05106-3ae3-4292-8569-6feafea2d3ae
4232937059,,9560,,WOLFCAMP B,9540,370c7f8c-6110-4110-b0be-4bd5eda72de8
4232937459,,10728,,WOLFCAMP B,9532,f7c7e11c-b624-48ef-a720-ca9aa2e1bf5e
4232937347,,10563,,UPPER SPRABERRY,8293,bbb41b35-f134-49aa-867d-a74ff5bceced
4232936470,,9194,,WOLFCAMP A,9174,cbc32b88-03d0-45af-8a49-1e0a17053da9
4232936789,,11376,,WOLFCAMP C,10291,ccf05106-3ae3-4292-8569-6feafea2d3ae
4232937059,,10432,,,10232,370c7f8c-6110-4110-b0be-4bd5eda72de8
4232936470,,7389,,,7180,cbc32b88-03d0-45af-8a49-1e0a17053da9
4232937063,,9086,,DEAN,8795,08414a50-81cc-4d77-9cb3-7164929dd8d0
4232937531,,11340,,UPPER SPRABERRY,8233,64540b6a-9ea0-4fa4-9da9-af7185549e26
4232937109,,10044,,WOLFCAMP D,7864,b776df63-5592-42fe-8b4e-eca948c8b78f
4232937301,,11036,,UPPER SPRABERRY,8270,025fba8a-7d63-4271-baf1-dd6e4a78e68f
4232936470,,7745,,,7536,cbc32b88-03d0-45af-8a49-1e0a17053da9
4232936789,,10148,,WOLFCAMP C,9630,ccf05106-3ae3-4292-8569-6feafea2d3ae
4232937565,,10550,,UPPER SPRABERRY,8373,862da095-dd35-4144-b413-bb9d7594f560
4232937063,,9580,,WOLFCAMP B,9560,08414a50-81cc-4d77-9cb3-7164929dd8d0
4232936470,,8922,,LOWER SPRABERRY,8902,cbc32b88-03d0-45af-8a49-1e0a17053da9
4232937142,,10650,,WOLFCAMP D,8791,071146f6-8e3f-476c-a7dd-51fdb41fd96a
4232937421,,11537,,LOWER SPRABERRY,8943,18471513-1106-47f2-8605-c07841fdd610
4232937565,,11122,,,10715,862da095-dd35-4144-b413-bb9d7594f560
4232936595,,10880,,,10520,1a72ff71-e510-4a7c-ab6e-b06ed55e19da
4232936483,,10510,,,7522,fc9b4d74-ddba-44d5-b731-46bb3f1284f0
4232937221,,10465,,WOLFCAMP D,8862,e44626a7-a086-49c7-b348-11c1fe8d965f
4232937443,,11120,,,7856,3470e74c-d9ef-4863-b330-4973b8034644
4232937642,,11434,,DEAN,9173,e2faef4c-7ac1-4346-b924-03e03f27cf63
4232936483,,10690,,,10670,fc9b4d74-ddba-44d5-b731-46bb3f1284f0
4232937051,,10770,,WOLFCAMP A,9180,e0161c12-7e14-4088-a6e9-8988edeb2bf8
4232937221,,11124,,,10638,e44626a7-a086-49c7-b348-11c1fe8d965f
4232936595,,10369,,WOLFCAMP D,8240,1a72ff71-e510-4a7c-ab6e-b06ed55e19da
4232937427,,10183,,UPPER SPRABERRY,7986,403f735b-ea64-4f23-861f-31e835e5ed44
4232937649,,10874,,WOLFCAMP D,10776,9dcdd786-7838-46b7-afca-841692a81208
4232937649,,10746,,DEAN,9239,9dcdd786-7838-46b7-afca-841692a81208
4232937156,,10842,,,10580,0db26bc9-bdba-4021-8d93-6b5a1f28c0ee
