API,Date,Field,Formation,Lease,Operator,Pool,CO2Injection,GasInjection,OtherInjection,TubingPressure,WaterInjection,WellId
04030328690000,5/1/2017 12:00:00 AM,Cymric,TULARE,McPhee,CHEVRON USA INC,TULARE,0,0,0,0,332,ceb43361-dceb-4ed5-b9b1-ac3ad95ff8b6
04030328690000,6/1/2009 12:00:00 AM,Cymric,TULARE,McPhee,CHEVRON USA INC,TULARE,0,0,0,34,2779,ceb43361-dceb-4ed5-b9b1-ac3ad95ff8b6
04030328690000,3/1/2010 12:00:00 AM,Cymric,TULARE,McPhee,CHEVRON USA INC,TULARE,0,0,0,160,475,ceb43361-dceb-4ed5-b9b1-ac3ad95ff8b6
04030315870000,4/1/2007 12:00:00 AM,"Belridge, South",TULARE,SEBU T,AERA ENERGY LLC,TULARE,0,0,0,100,7962,f8a967bc-f3d7-440b-a220-01b919edca83
04030272810000,6/1/2008 12:00:00 AM,"Belridge, South",TULARE,SEBU T,AERA ENERGY LLC,TULARE,0,0,0,0,263,a82c1c0d-2797-4af8-9187-54ce8663f446
04030272810000,7/1/2005 12:00:00 AM,"Belridge, South",TULARE,SEBU T,AERA ENERGY LLC,TULARE,0,0,0,210,2250,a82c1c0d-2797-4af8-9187-54ce8663f446
04030386480000,7/1/2011 12:00:00 AM,Lost Hills,TULARE,Lost Hills Govt.,AERA ENERGY LLC,TULARE,0,0,0,199,4746,927e9b1b-f84f-459b-b338-f8446734783e
04030272810000,7/1/2006 12:00:00 AM,"Belridge, South",TULARE,SEBU T,AERA ENERGY LLC,TULARE,0,0,0,160,10964,a82c1c0d-2797-4af8-9187-54ce8663f446
04030328690000,6/1/2014 12:00:00 AM,Cymric,TULARE,McPhee,CHEVRON USA INC,TULARE,0,0,0,106,2411,ceb43361-dceb-4ed5-b9b1-ac3ad95ff8b6
04030272810000,2/1/2014 12:00:00 AM,"Belridge, South",TULARE,SEBU T,AERA ENERGY LLC,TULARE,0,0,0,292,11662,a82c1c0d-2797-4af8-9187-54ce8663f446
