WellId,API,Date,Oil,Gas,Water,State,County,Field,Operator,Days,DailyOil,DailyGas,DailyWater
b57d44c6-0c26-47e4-b7fa-a67d07c16a4c,4238935961,11/1/2017 12:00:00 AM,22230,29266,0,Texas,REEVES,,"CENTENNIAL RESOURCE PROD, LLC",0,0,0,0
d4b4ac85-ee64-4758-94d6-89024d72fc0a,4238339955,2/1/2018 12:00:00 AM,9352,196,276340,Texas,REAGAN,LIN (WOLFCAMP),SEM OPERATING COMPANY LLC,28,334,7,9869
9c09e120-0655-4cf4-a8ee-533feb1192aa,4238935796,2/1/2018 12:00:00 AM,0,0,0,Texas,REEVES,WOLFBONE (TREND AREA),CHEVRON U. S. A. INC.,28,0,0,0
4b272c04-9a07-41cb-ad47-dc7f3edec9cf,4238935797,2/1/2018 12:00:00 AM,0,0,0,Texas,REEVES,WOLFBONE (TREND AREA),CHEVRON U. S. A. INC.,28,0,0,0
e2a3047c-9972-4450-9697-8efcbaab2376,4238935925,2/1/2018 12:00:00 AM,3866,7049,0,Texas,REEVES,,ROSETTA RESOURCES OPERATING LP,28,138,252,0
e2a3047c-9972-4450-9697-8efcbaab2376,4238935925,12/1/2017 12:00:00 AM,12957,18814,0,Texas,REEVES,,ROSETTA RESOURCES OPERATING LP,0,0,0,0
e2a3047c-9972-4450-9697-8efcbaab2376,4238935925,11/1/2017 12:00:00 AM,1236,3017,0,Texas,REEVES,,ROSETTA RESOURCES OPERATING LP,30,41,101,0
3a4edac7-3bd3-4bae-a68e-f3966bdcf930,4238339850,2/1/2018 12:00:00 AM,11591,6370,0,Texas,REAGAN,,"BTA OIL PRODUCERS, LLC",28,414,228,0
2545e6e6-3e1c-43e2-ba68-b7284072f212,4238339851,2/1/2018 12:00:00 AM,16179,23036,0,Texas,REAGAN,,"BTA OIL PRODUCERS, LLC",28,578,823,0
196b8703-48e3-45b9-8ee3-820dc515dd39,4238936204,1/1/2018 12:00:00 AM,11748,65323,0,Texas,REEVES,,"EOG RESOURCES, INC.",31,379,2107,0
196b8703-48e3-45b9-8ee3-820dc515dd39,4238936204,2/1/2018 12:00:00 AM,11597,72399,0,Texas,REEVES,,"EOG RESOURCES, INC.",28,414,2586,0
4df8edbe-aecf-4887-b45f-176bf12d0eab,4238935949,1/1/2018 12:00:00 AM,43202,245488,0,Texas,REEVES,,"CENTENNIAL RESOURCE PROD, LLC",31,1394,7919,0
0e872bd0-5c3a-40be-a87b-e10b8a91d259,4238935951,12/1/2017 12:00:00 AM,14954,62052,0,Texas,REEVES,,"CENTENNIAL RESOURCE PROD, LLC",0,0,0,0
a3b9030a-2ac0-4613-bb60-13fd128e907b,4246140402,1/1/2018 12:00:00 AM,28721,29904,0,Texas,UPTON,SPRABERRY (TREND AREA) R 40 EXC,"PIONEER NATURAL RES. USA, INC.",31,926,964,0
65612385-9e03-429b-bbe2-a98f9cec0956,4238936052,12/1/2017 12:00:00 AM,0,0,0,Texas,REEVES,PHANTOM (WOLFCAMP),"CENTENNIAL RESOURCE PROD, LLC",25,749,4822,0
e3fd94d3-56ae-445d-b4fe-7f081f35d76a,4238936051,12/1/2017 12:00:00 AM,0,0,0,Texas,REEVES,PHANTOM (WOLFCAMP),"CENTENNIAL RESOURCE PROD, LLC",24,622,3345,0
2d5be6e0-7b7f-49ac-8c4a-6530e50b83fb,4238936310,2/1/2018 12:00:00 AM,23342,82656,0,Texas,REEVES,,CARRIZO (PERMIAN) LLC,28,834,2952,0
f9d395d1-eb20-40c9-8c12-42dd0b8243af,4200131315,1/1/2018 12:00:00 AM,124,0,0,Texas,ANDERSON,,"UPSTREAM RESOURCE PARTNERS, LLC",31,4,0,0
e16fe5d1-87b9-4a4a-8e7e-682eafb87485,4237331321,2/1/2018 12:00:00 AM,1065,0,0,Texas,POLK,,"ARCADIA OPERATING, LLC",28,38,0,0
004c23ca-b963-444a-aa71-9fcc6d10903d,4205133955,2/1/2018 12:00:00 AM,0,0,0,Texas,BURLESON,AGUILA VADO (EAGLEFORD),"WILDHORSE RESOURCES MNGT CO, LLC",28,0,0,0
1839a26f-fa07-4dc3-a2f3-676dd7f3fb47,4237331320,2/1/2018 12:00:00 AM,93,124,0,Texas,POLK,,"ARCADIA OPERATING, LLC",28,3,4,0
1839a26f-fa07-4dc3-a2f3-676dd7f3fb47,4237331320,12/1/2017 12:00:00 AM,51,388,0,Texas,POLK,,"ARCADIA OPERATING, LLC",0,0,0,0
1839a26f-fa07-4dc3-a2f3-676dd7f3fb47,4237331320,11/1/2017 12:00:00 AM,212,41,0,Texas,POLK,,"ARCADIA OPERATING, LLC",0,0,0,0
c1e8734d-5c40-4c29-ba75-082f310c83ee,4237139514,2/1/2018 12:00:00 AM,15256,15685,0,Texas,PECOS,,"HALCON OPERATING CO., INC.",28,545,560,0
00ef9ece-730d-4ccc-830e-6dcc456468d8,4246140642,2/1/2018 12:00:00 AM,16044,10920,92873,Texas,UPTON,SPRABERRY (TREND AREA),"PT PETROLEUM, LLC",28,573,390,3317
4471ef3d-a131-4b3b-8bf7-18420de56e9a,4246140434,2/1/2018 12:00:00 AM,644,0,0,Texas,UPTON,TAYLOR DRAW (BEND),"PBEX OPERATIONS, LLC",28,23,0,0
caf3970f-6f27-44ef-a39e-a7fbea2f7940,4238936085,2/1/2018 12:00:00 AM,18350,23610,0,Texas,REEVES,,NBL PERMIAN LLC,28,655,843,0
6329b48a-4d5a-4786-9cd2-9dda3839daf8,4238936097,2/1/2018 12:00:00 AM,18617,23334,0,Texas,REEVES,,NBL PERMIAN LLC,28,665,833,0
61061ae1-4c6b-410e-82b2-f21864b34ed2,4238935956,2/1/2018 12:00:00 AM,21560,29648,0,Texas,REEVES,WOLFBONE (TREND AREA),PRIMEXX OPERATING CORPORATION,28,770,1058,0
85608c40-215f-4984-8993-1fa6e34b8171,4238935746,1/1/2018 12:00:00 AM,26510,70855,0,Texas,REEVES,,ROSETTA RESOURCES OPERATING LP,31,855,2286,0
85608c40-215f-4984-8993-1fa6e34b8171,4238935746,12/1/2017 12:00:00 AM,35931,84913,0,Texas,REEVES,,ROSETTA RESOURCES OPERATING LP,0,0,0,0
85608c40-215f-4984-8993-1fa6e34b8171,4238935746,11/1/2017 12:00:00 AM,29905,63741,0,Texas,REEVES,,ROSETTA RESOURCES OPERATING LP,30,997,2125,0
fd63c132-832d-4381-89a1-fed0444663d5,4238935705,12/1/2017 12:00:00 AM,59877,143666,0,Texas,REEVES,,ROSETTA RESOURCES OPERATING LP,0,0,0,0
fd63c132-832d-4381-89a1-fed0444663d5,4238935705,11/1/2017 12:00:00 AM,35394,78115,0,Texas,REEVES,,ROSETTA RESOURCES OPERATING LP,30,1180,2604,0
fd63c132-832d-4381-89a1-fed0444663d5,4238935705,2/1/2018 12:00:00 AM,29286,79130,0,Texas,REEVES,,ROSETTA RESOURCES OPERATING LP,28,1046,2826,0
3cf2f3f7-2b95-4353-b706-e7867db08da2,4223536162,1/1/2018 12:00:00 AM,0,0,327,Texas,IRION,SPRABERRY (TREND AREA),"COMPASS ENERGY OPERATING, LLC",21,0,0,0
3cf2f3f7-2b95-4353-b706-e7867db08da2,4223536162,1/1/2018 12:00:00 AM,3,0,327,Texas,IRION,LONESOME REEF (WOLFCAMP),"COMPASS ENERGY OPERATING, LLC",21,0,0,0
3cf2f3f7-2b95-4353-b706-e7867db08da2,4223536162,2/1/2018 12:00:00 AM,0,0,230,Texas,IRION,SPRABERRY (TREND AREA),"COMPASS ENERGY OPERATING, LLC",28,0,0,0
3cf2f3f7-2b95-4353-b706-e7867db08da2,4223536162,2/1/2018 12:00:00 AM,0,0,230,Texas,IRION,SPRABERRY (TREND AREA),"COMPASS ENERGY OPERATING, LLC",28,0,0,0
3cf2f3f7-2b95-4353-b706-e7867db08da2,4223536162,1/1/2018 12:00:00 AM,0,0,327,Texas,IRION,SPRABERRY (TREND AREA),"COMPASS ENERGY OPERATING, LLC",21,0,0,0
9def3e4d-5163-48fb-8f9e-1639f86310bf,4247537262,1/1/2018 12:00:00 AM,0,0,0,Texas,WARD,PHANTOM (WOLFCAMP),OCCIDENTAL PERMIAN LTD.,10,1706,2476,0
90fa291b-eda9-40f0-9e65-d1818a1fa6f4,4247537261,2/1/2018 12:00:00 AM,24042,28180,0,Texas,WARD,,OCCIDENTAL PERMIAN LTD.,28,859,1006,0
05a239f5-3036-4b08-9c18-528286ff49f8,4238935804,11/1/2017 12:00:00 AM,43615,68313,0,Texas,REEVES,,DIAMONDBACK E&P LLC,30,1454,2277,0
