API,Comments,EffectiveDate,Field,Orginization,Status,StatusDate,WellName,WellId
4237102713,Producing operator changed.,12/1/2008 12:00:00 AM,PECOS VALLEY (LOW GRAVITY),NORTHAMERICAN SERVICE GROUP,,,,d3e18d22-6e1b-419a-a2de-07e922700fec
4237102713,Producing operator changed.,4/1/2011 12:00:00 AM,PECOS VALLEY (LOW GRAVITY),"P.O.&amp;G. OPERATING, LLC",,,,d3e18d22-6e1b-419a-a2de-07e922700fec
4237102713,Producing operator changed.,3/1/2004 12:00:00 AM,PECOS VALLEY (LOW GRAVITY),KING OIL &amp; RESOURCES CO,,,,d3e18d22-6e1b-419a-a2de-07e922700fec
4237102713,Producing operator changed.,8/1/2003 12:00:00 AM,PECOS VALLEY (LOW GRAVITY),LONESOME LAND COMPANY,,,,d3e18d22-6e1b-419a-a2de-07e922700fec
4237102713,Producing operator changed.,9/1/2003 12:00:00 AM,PECOS VALLEY (LOW GRAVITY),ENERGICO PRODUCTION INC.,,,,d3e18d22-6e1b-419a-a2de-07e922700fec
4237134770,Producing operator changed.,8/1/2007 12:00:00 AM,YATES,KINDER MORGAN PRODUCTION CO LLC,,,,bb6bdeb3-e237-44b3-894f-fd313879b905
4237134770,Producing operator changed.,12/1/2003 12:00:00 AM,YATES,KINDER MORGAN PRODUCTION CO LP,,,,bb6bdeb3-e237-44b3-894f-fd313879b905
4237134770,Producing operator changed.,11/1/2003 12:00:00 AM,YATES,KINDER MORGAN SACROC LP,,,,bb6bdeb3-e237-44b3-894f-fd313879b905
4237135224,Producing operator changed.,11/1/2003 12:00:00 AM,YATES,KINDER MORGAN SACROC LP,,,,d62653ca-a63d-4ba2-a3c5-5e98d6fca27d
4237135224,Producing operator changed.,8/1/2007 12:00:00 AM,YATES,KINDER MORGAN PRODUCTION CO LLC,,,,d62653ca-a63d-4ba2-a3c5-5e98d6fca27d
4237135224,Producing operator changed.,12/1/2003 12:00:00 AM,YATES,KINDER MORGAN PRODUCTION CO LP,,,,d62653ca-a63d-4ba2-a3c5-5e98d6fca27d
4237134839,Producing operator changed.,8/1/2007 12:00:00 AM,YATES,KINDER MORGAN PRODUCTION CO LLC,,,,6c7cb1b2-497a-4c15-86d1-fbeca77e9f9b
4237134839,Producing operator changed.,11/1/2003 12:00:00 AM,YATES,KINDER MORGAN SACROC LP,,,,6c7cb1b2-497a-4c15-86d1-fbeca77e9f9b
4237134839,Producing operator changed.,12/1/2003 12:00:00 AM,YATES,KINDER MORGAN PRODUCTION CO LP,,,,6c7cb1b2-497a-4c15-86d1-fbeca77e9f9b
4237137697,Producing operator changed.,10/1/2011 12:00:00 AM,TREES RANCH (DETRITAL),WHITING OIL AND GAS CORPORATION,,,,87af01f8-4347-4ead-b03a-ff0844aa2cdd
4237137697,Producing operator changed.,8/1/2010 12:00:00 AM,TREES RANCH (DETRITAL),"NORDSTRAND ENGINEERING, INC.",,,,87af01f8-4347-4ead-b03a-ff0844aa2cdd
4237134712,Producing operator changed.,12/1/2003 12:00:00 AM,YATES,KINDER MORGAN PRODUCTION CO LP,,,,4555abfa-b387-4d63-a072-893dc5a5843e
4237134712,Producing operator changed.,11/1/2003 12:00:00 AM,YATES,KINDER MORGAN SACROC LP,,,,4555abfa-b387-4d63-a072-893dc5a5843e
4237134712,Producing operator changed.,8/1/2007 12:00:00 AM,YATES,KINDER MORGAN PRODUCTION CO LLC,,,,4555abfa-b387-4d63-a072-893dc5a5843e
4237130596,Producing operator changed.,4/1/2001 12:00:00 AM,J. K. S. (TUBB),FOUR C OIL &amp; GAS CORP.,,,,8903c92a-083f-456c-b6ea-6de6d53bb166
4237135378,Producing operator changed.,8/1/2007 12:00:00 AM,YATES,KINDER MORGAN PRODUCTION CO LLC,,,,2c6e2f91-039a-493b-ac85-8e7824532098
4237135378,Producing operator changed.,12/1/2003 12:00:00 AM,YATES,KINDER MORGAN PRODUCTION CO LP,,,,2c6e2f91-039a-493b-ac85-8e7824532098
